brand,model,screen_size,screen_resolution,cpu,cpu_speed,ram,memory,gpu,graphics_card_description,OpSys,weight,color,No_reviews,ratings,price,link_item
Lenovo,Lenovo,15.6 Inches,1920 x 1080 pixels,core_i5,4.4 GHz,16 GB,512 GB,Intel Iris Xe Graphics,Integrated,Windows 11 Pro,3.75 pounds,Black,36 ratings,4.4,$649.00,https://www.amazon.com/Lenovo-Business-i5-1235U-i7-1165G7-Graphics/dp/B0CHVHH3PW/ref=sr_1_5
Lenovo,21B3,13.3 Inches,1920 x 1080 pixels,core_i3,3.3 GHz,8 GB,256 GB,Intel UHD Graphics,Integrated,Windows 11 Pro,2.78 pounds,Storm Gray,1 rating,5.0,$424.99,https://www.amazon.com/Lenovo-ThinkPad-i3-1215U-i7-1165G7-Thunderbolt/dp/B0CCK825CH/ref=sr_1_9
Lenovo,100e Chromebook,11.6 Inches,1366 x 768 pixels,mediatek_mt8127,2.1 GHz,4 GB,,,Integrated,Chrome OS,2.67 pounds,Black,26 ratings,4.5,$87.54,https://www.amazon.com/Lenovo-Chromebook-81QB000AUS-Computer-Processor/dp/B07Z36FP7L/ref=sr_1_47
Lenovo,Ideapad 3i,15.6 Inches,1920 x 1080 pixels,intel_core_i5_1135g7,4.2 GHz,8 GB,512 GB,Intel Iris,Integrated,Windows 11,3.74 pounds,Gray,,,$478.49,https://www.amazon.com/Lenovo-i5-1135G7-Processor-Graphics-Bluetooth/dp/B0C9SGXHWR/ref=sr_1_48
Lenovo,Lenovo Thinkpad,14 Inches,1366 x 768 pixels,i5_2320,2.6 GHz,8 GB,128 GB,Intel HD Graphics 4000,Integrated,Windows 10,1.6 ounces,Black,688 ratings,4.0,$129.35,https://www.amazon.com/Lenovo-T430-LED-backlit-Certified-Refurbished/dp/B0733H5YZY/ref=sr_1_46
lenovo,Lenovo N23,11.6 Inches,1366 x 768 pixels,celeron,1.6 GHz,4 GB,16 GB,Celron N3060,Integrated,Chrome OS,2 pounds,,63 ratings,4.1,$62.49,https://www.amazon.com/Lenovo-Chromebook-Laptop-Celeron-Renewed/dp/B088SGPWSS/ref=sr_1_45
LENOVO,Lenovo ThinkPad T490,14 Inches,,Core i7-8665U,,16 GB,256 GB,,Integrated,Windows 10 Pro,,Black,6 ratings,3.9,$360.99,https://www.amazon.com/LENOVO-ThinkPad-Computer-i7-8665U-Fingerprint/dp/B0C89TPWHZ/ref=sr_1_44
Lenovo,IdeaPad,14 Inches,1920 x 1080 pixels,core_i5,2.4 GHz,20 GB,1 TB,Intel Iris Xe Graphics,Integrated,Windows 11 Home,3.1 pounds,Gray,11 ratings,4.6,$569.99,https://www.amazon.com/Lenovo-Fingerprint-Anti-Glare-i5-1135G7-Graphics/dp/B0C3WGJ3XW/ref=sr_1_39
Lenovo,Thinkpad T420,14 Inches,1366 x 768 pixels,Core_i5_2520M,2.5 GHz,8 GB,512 GB,Intel HD Graphics 4000,Integrated,Windows 10 Pro,7.25 pounds,Black,517 ratings,4.1,$195.89,https://www.amazon.com/Lenovo-Thinkpad-T420-Windows-Professional/dp/B00W4AMWCI/ref=sr_1_40
Lenovo,IdeaPad 3,14 Inches,1920 x 1080,core_i3,1.2 GHz,4 GB,128 GB,Intel UHD Graphics,Integrated,Windows 11,3.3 pounds,Platinum Grey,197 ratings,4.1,$249.99,https://www.amazon.com/Lenovo-IdeaPad-Display-Storage-Windows/dp/B09BG7QFRG/ref=sr_1_42
Lenovo,,14 Inches,1366 x 768 pixels,celeron_n,1.1 GHz,4 GB,64 GB,Intel HD Graphics 500,Integrated,Windows 11 S,3.08 pounds,Cloud Grey,,,$151.99,https://www.amazon.com/Lenovo-Ideapad-Processor-Graphics-Snowbell/dp/B0C9BYGSX2/ref=sr_1_19
